Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
AC-A1,R Zadobrova(MB-LJsev)MB-LJsev (v)600966.05.401.06.2026 10:00:00Povečan promet,MB-LJsev (v),600,96,6.0,5.4,01.06.2026 10:00:00,Povečan promet
,MB-LJsev (p)612865.87.801.06.2026 10:00:00Povečan promet,MB-LJsev (p),612,86,5.8,7.8,01.06.2026 10:00:00,Povečan promet
AC-A1,R Zadobrova(LJsev-MB)LJsev-MB (v)516907.16.701.06.2026 10:00:00Povečan promet,LJsev-MB (v),516,90,7.1,6.7,01.06.2026 10:00:00,Povečan promet
,LJsev-MB (p)26410212.82.101.06.2026 10:00:00Normalen promet,LJsev-MB (p),264,102,12.8,2.1,01.06.2026 10:00:00,Normalen promet
AC-A1,R Zadobrova(LJsev-LJvzh)LJsev-LJvzh (v)624835.66.701.06.2026 10:00:00Povečan promet,LJsev-LJvzh (v),624,83,5.6,6.7,01.06.2026 10:00:00,Povečan promet
,LJsev-LJvzh (p)3729310.33.201.06.2026 10:00:00Normalen promet,LJsev-LJvzh (p),372,93,10.3,3.2,01.06.2026 10:00:00,Normalen promet
AC-A1,R Zadobrova(LJvzh-LJsev)LJvzh - LJsev (v)756874.67.801.06.2026 10:00:00Povečan promet,LJvzh - LJsev (v),756,87,4.6,7.8,01.06.2026 10:00:00,Povečan promet
,LJvzh - LJsev (p)5401057.24.101.06.2026 10:00:00Povečan promet,LJvzh - LJsev (p),540,105,7.2,4.1,01.06.2026 10:00:00,Povečan promet
AC-A1,Zadobrova ACsmer LJvzh (v)000.00.001.06.2026 10:00:00Ni podatka,smer LJvzh (v),0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
,smer LJvzh (p)000.00.001.06.2026 10:00:00Ni podatka,smer LJvzh (p),0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
,smer MB (v)696795.28.001.06.2026 10:00:00Povečan promet,smer MB (v),696,79,5.2,8.0,01.06.2026 10:00:00,Povečan promet
,smer MB (p)2289715.31.901.06.2026 10:00:00Normalen promet,smer MB (p),228,97,15.3,1.9,01.06.2026 10:00:00,Normalen promet
AC-A1,Gotovljesmer LJ (v)852944.211.101.06.2026 10:00:00Zgoščen promet,smer LJ (v),852,94,4.2,11.1,01.06.2026 10:00:00,Zgoščen promet
,smer LJ (p)6841235.24.701.06.2026 10:00:00Povečan promet,smer LJ (p),684,123,5.2,4.7,01.06.2026 10:00:00,Povečan promet
,smer MB (v)780944.410.601.06.2026 10:00:00Zgoščen promet,smer MB (v),780,94,4.4,10.6,01.06.2026 10:00:00,Zgoščen promet
,smer MB (p)4801228.03.201.06.2026 10:00:00Normalen promet,smer MB (p),480,122,8.0,3.2,01.06.2026 10:00:00,Normalen promet
AC-A1,Podmiljsmer LJ (v)720934.69.001.06.2026 10:00:00Povečan promet,smer LJ (v),720,93,4.6,9.0,01.06.2026 10:00:00,Povečan promet
,smer LJ (p)3601159.72.701.06.2026 10:00:00Normalen promet,smer LJ (p),360,115,9.7,2.7,01.06.2026 10:00:00,Normalen promet
,smer MB (po)1688319.93.901.06.2026 10:00:00Normalen promet,smer MB (po),168,83,19.9,3.9,01.06.2026 10:00:00,Normalen promet
,smer MB (v)6121086.25.301.06.2026 10:00:00Povečan promet,smer MB (v),612,108,6.2,5.3,01.06.2026 10:00:00,Povečan promet
,smer MB (p)4441248.73.001.06.2026 10:00:00Normalen promet,smer MB (p),444,124,8.7,3.0,01.06.2026 10:00:00,Normalen promet
AC-A1,Verd ACsmer KP (v)852963.810.201.06.2026 10:00:00Povečan promet,smer KP (v),852,96,3.8,10.2,01.06.2026 10:00:00,Povečan promet
,smer KP (p)12001143.57.901.06.2026 10:00:00Povečan promet,smer KP (p),1200,114,3.5,7.9,01.06.2026 10:00:00,Povečan promet
,smer KP (po)288769.87.601.06.2026 10:00:00Normalen promet,smer KP (po),288,76,9.8,7.6,01.06.2026 10:00:00,Normalen promet
,smer LJ (v)8281044.69.001.06.2026 10:00:00Povečan promet,smer LJ (v),828,104,4.6,9.0,01.06.2026 10:00:00,Povečan promet
,smer LJ (p)9241263.76.101.06.2026 10:00:00Povečan promet,smer LJ (p),924,126,3.7,6.1,01.06.2026 10:00:00,Povečan promet
AC-A1,R KozarjeKP-LJjug (v)1392762.618.301.06.2026 10:00:00Zgoščen promet,KP-LJjug (v),1392,76,2.6,18.3,01.06.2026 10:00:00,Zgoščen promet
,KP-LJjug (p)15610023.01.301.06.2026 10:00:00Normalen promet,KP-LJjug (p),156,100,23.0,1.3,01.06.2026 10:00:00,Normalen promet
,LJjug-KP (v)684895.58.701.06.2026 10:00:00Povečan promet,LJjug-KP (v),684,89,5.5,8.7,01.06.2026 10:00:00,Povečan promet
,LJjug-KP (p)4081098.33.001.06.2026 10:00:00Normalen promet,LJjug-KP (p),408,109,8.3,3.0,01.06.2026 10:00:00,Normalen promet
AC-A1,R MalenceLJjug-LJvzh (v)684765.19.601.06.2026 10:00:00Povečan promet,LJjug-LJvzh (v),684,76,5.1,9.6,01.06.2026 10:00:00,Povečan promet
,LJjug-LJvzh (p)564886.25.301.06.2026 10:00:00Povečan promet,LJjug-LJvzh (p),564,88,6.2,5.3,01.06.2026 10:00:00,Povečan promet
